,hidden_state,observation,state_index,obs_index
0,Unlearned,Incorrect,0,0
1,Unlearned,Correct,0,1
2,Unlearned,Incorrect,0,0
3,Unlearned,Incorrect,0,0
4,Unlearned,Incorrect,0,0
5,Unlearned,Incorrect,0,0
6,Unlearned,Incorrect,0,0
7,Unlearned,Incorrect,0,0
8,Unlearned,Incorrect,0,0
9,Unlearned,Correct,0,1
10,Unlearned,Incorrect,0,0
11,Unlearned,Incorrect,0,0
12,Unlearned,Correct,0,1
13,Learned,Correct,1,1
14,Learned,Correct,1,1
15,Learned,Correct,1,1
16,Learned,Correct,1,1
17,Learned,Correct,1,1
18,Learned,Incorrect,1,0
19,Learned,Correct,1,1
20,Learned,Incorrect,1,0
21,Learned,Incorrect,1,0
22,Learned,Correct,1,1
23,Learned,Correct,1,1
24,Learned,Correct,1,1
25,Learned,Correct,1,1
26,Learned,Correct,1,1
27,Learned,Correct,1,1
28,Learned,Correct,1,1
29,Learned,Correct,1,1
30,Learned,Incorrect,1,0
31,Learned,Correct,1,1
32,Learned,Correct,1,1
33,Learned,Incorrect,1,0
34,Learned,Correct,1,1
35,Learned,Correct,1,1
36,Learned,Correct,1,1
37,Learned,Correct,1,1
38,Learned,Correct,1,1
39,Learned,Correct,1,1
40,Learned,Correct,1,1
41,Learned,Correct,1,1
42,Learned,Correct,1,1
43,Learned,Correct,1,1
44,Learned,Correct,1,1
45,Learned,Correct,1,1
46,Learned,Correct,1,1
47,Learned,Correct,1,1
48,Learned,Incorrect,1,0
49,Learned,Correct,1,1
50,Learned,Correct,1,1
51,Learned,Incorrect,1,0
52,Learned,Correct,1,1
53,Learned,Correct,1,1
54,Learned,Correct,1,1
55,Learned,Correct,1,1
56,Learned,Correct,1,1
57,Learned,Correct,1,1
58,Learned,Correct,1,1
59,Learned,Correct,1,1
60,Learned,Correct,1,1
61,Learned,Correct,1,1
62,Learned,Incorrect,1,0
63,Learned,Correct,1,1
64,Learned,Correct,1,1
65,Learned,Incorrect,1,0
66,Learned,Correct,1,1
67,Learned,Incorrect,1,0
68,Learned,Correct,1,1
69,Learned,Correct,1,1
70,Learned,Correct,1,1
71,Learned,Correct,1,1
72,Learned,Correct,1,1
73,Learned,Correct,1,1
74,Learned,Correct,1,1
75,Learned,Correct,1,1
76,Learned,Correct,1,1
77,Learned,Correct,1,1
78,Learned,Correct,1,1
79,Learned,Correct,1,1
80,Learned,Incorrect,1,0
81,Learned,Correct,1,1
82,Learned,Correct,1,1
83,Learned,Correct,1,1
84,Learned,Correct,1,1
85,Learned,Correct,1,1
86,Learned,Correct,1,1
87,Learned,Correct,1,1
88,Learned,Correct,1,1
89,Learned,Correct,1,1
90,Learned,Correct,1,1
91,Learned,Correct,1,1
92,Learned,Correct,1,1
93,Learned,Correct,1,1
94,Learned,Incorrect,1,0
95,Learned,Correct,1,1
96,Learned,Incorrect,1,0
97,Learned,Correct,1,1
98,Learned,Incorrect,1,0
99,Learned,Correct,1,1
