,hidden_state,observation,state_index,obs_index
0,Unlearned,Incorrect,0,0
1,Unlearned,Incorrect,0,0
2,Unlearned,Correct,0,1
3,Unlearned,Incorrect,0,0
4,Unlearned,Incorrect,0,0
5,Unlearned,Incorrect,0,0
6,Unlearned,Correct,0,1
7,Unlearned,Correct,0,1
8,Unlearned,Incorrect,0,0
9,Unlearned,Incorrect,0,0
10,Unlearned,Correct,0,1
11,Unlearned,Incorrect,0,0
12,Learned,Correct,1,1
13,Learned,Correct,1,1
14,Learned,Correct,1,1
15,Learned,Correct,1,1
16,Learned,Incorrect,1,0
17,Learned,Correct,1,1
18,Learned,Correct,1,1
19,Learned,Correct,1,1
20,Learned,Correct,1,1
21,Learned,Correct,1,1
22,Learned,Correct,1,1
23,Learned,Correct,1,1
24,Learned,Correct,1,1
25,Learned,Correct,1,1
26,Learned,Correct,1,1
27,Learned,Correct,1,1
28,Learned,Correct,1,1
29,Learned,Correct,1,1
